"a";"b";"c";"d";"e";"f";"g";"h";"i";"j"
0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889
0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444
0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889
0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889
0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778
0,8111111111;0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222
0,8288888889;0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444
0,8255555556;0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444
0,8288888889;0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444
0,8488888889;0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222
0,8644444444;0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889
0,8888888889;0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667
0,8888888889;0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556
0,8777777778;0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333
0,9322222222;0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556
0,9544444444;0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111
0,9544444444;0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222
0,9244444444;0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889
0,9322222222;0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333
0,9228888889;0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889
0,9166666667;0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889
0,9590555556;0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94
0,9833333333;0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444
0,9655555556;0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333
0,9311111111;0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333;0,95
0,9672222222;0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333;0,95;0,9455555556
0,9688888889;0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444
0,9498333333;0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222
0,9488888889;0,9488888889;0,94;0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222;0,91
0,9488888889;0,94;0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667
0,94;0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778
0,9544444444;0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556
0,9533333333;0,95;0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667
0,95;0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667
0,9455555556;0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333
0,9244444444;0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333
0,9022222222;0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222
0,91;0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889
0,8916666667;0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222
0,8902777778;0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556
0,8755555556;0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111
0,8766666667;0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444
0,8566666667;0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111
0,8686333333;0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111
0,8844333333;0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222
0,8722222222;0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444
0,8488888889;0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889
0,8372222222;0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333
0,7955555556;0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778
0,8111111111;0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889
0,8144444444;0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556
0,8161111111;0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444
0,8011111111;0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778
0,8072222222;0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111
0,8094444444;0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444
0,7988888889;0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889
0,8033333333;0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778
0,7977777778;0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444
0,7988888889;0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556
0,8055555556;0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667
0,8044444444;0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667
0,8077777778;0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667
0,8011111111;0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889
0,7984444444;0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667
0,7988888889;0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667
0,8077777778;0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778
0,8144444444;0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556
0,7993555556;0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778
0,7766666667;0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889
0,7666666667;0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333
0,7566666667;0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72
0,7588888889;0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444
0,7516666667;0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444
0,7466666667;0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333
0,7477777778;0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556
0,7480555556;0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444
0,7466777778;0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556
0,7288888889;0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444
0,7333333333;0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333
0,72;0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778
0,7054444444;0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111
0,6944444444;0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333
0,7033333333;0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333
0,7055555556;0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333
0,7144444444;0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72
0,7205555556;0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111
0,7344444444;0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667
0,7233333333;0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778
0,7227777778;0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222
0,7211111111;0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889
0,7122333333;0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556
0,7133333333;0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667
0,7333333333;0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889
0,72;0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444
0,7211111111;0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556
0,7266666667;0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556
0,7277777778;0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444
0,7222222222;0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444
0,6988888889;0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111
0,7055555556;0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556
0,7266666667;0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222
0,7288888889;0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111
0,7344444444;0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444
0,7255555556;0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889
0,7255555556;0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222
0,7264444444;0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556
0,7344444444;0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778
0,7311111111;0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79
0,7315555556;0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111
0,7322222222;0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111
0,7422111111;0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556
0,7455444444;0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333
0,7588888889;0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667
0,7622222222;0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111
0,7655555556;0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556
0,7677777778;0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333
0,79;0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111
0,7811111111;0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889
0,7611111111;0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889
0,7655555556;0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556
0,7633333333;0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222
0,7566666667;0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333
0,7611111111;0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333
0,7555555556;0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667
0,7433333333;0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556
0,7411111111;0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222
0,7488888889;0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444
0,7588888889;0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778
0,7555555556;0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111
0,7722222222;0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444
0,7633333333;0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556
0,7658333333;0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556
0,7666666667;0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889
0,7665555556;0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222
0,7722222222;0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78
0,7828444444;0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111
0,7777777778;0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111;0,78
0,7911111111;0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111;0,78;0,7888888889
0,7894444444;0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111;0,78;0,7888888889;0,7888888889
0,7855555556;0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222
0,7855555556;0,7888888889;0,7822222222;0,78;0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667
0,7888888889;0,7822222222;0,78;0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889
0,7822222222;0,78;0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667
0,78;0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222
0,7811111111;0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778
0,78;0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222
0,7888888889;0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78
0,7888888889;0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222
0,7922222222;0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444
0,7966666667;0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889
0,7888888889;0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333
0,7866666667;0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78
0,7911222222;0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111
0,7877777778;0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222
0,7822222222;0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111
0,78;0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111;0,79
0,7822222222;0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889
0,7944444444;0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889
0,7888888889;0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444
0,7961333333;0,78;0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778
0,78;0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111
0,7817111111;0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79
0,7722222222;0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667
0,7811111111;0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667;0,8
0,79;0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667;0,8;0,7988888889
0,7888888889;0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667;0,8;0,7988888889;0,7877777778
0,7788888889;0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667;0,8;0,7988888889;0,7877777778;0,79
0,7833444444;0,7777777778;0,7911111111;0,79;0,7966666667;0,8;0,7988888889;0,7877777778;0,79;0,8011111111
0,7777777778;0,7911111111;0,79;0,7966666667;0,8;0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111
0,7911111111;0,79;0,7966666667;0,8;0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111
0,79;0,7966666667;0,8;0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222
0,7966666667;0,8;0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889
0,8;0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667
0,7988888889;0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222
0,7877777778;0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889
0,79;0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667
0,8011111111;0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556
0,8011111111;0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222
0,8061111111;0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807
0,8122222222;0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807;0,8111111111
0,8088888889;0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807;0,8111111111;0,8077777778
0,8066666667;0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807;0,8111111111;0,8077777778;0,8088888889
0,8072222222;0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807;0,8111111111;0,8077777778;0,8088888889;0,8188888889
0,8088888889;0,8166666667;0,8105555556;0,7972222222;0,807;0,8111111111;0,8077777778;0,8088888889;0,8188888889;0,82
